instance,fitness_func,run,valid,cover_size,time,population_size,generations,mutation_rate
50_nodes,CoverSizeMin,4,False,23,1.098081111907959,100,500,0.1
50_nodes,CoverSizeMin,0,False,27,0.6499814987182617,100,300,0.05
50_nodes,CoverSizeMin,1,False,32,0.6560990810394287,100,300,0.05
50_nodes,CoverSizeMin,2,False,26,0.6455450057983398,100,300,0.05
50_nodes,CoverSizeMin,3,False,22,0.6660666465759277,100,300,0.05
50_nodes,CoverSizeMin,4,False,20,0.6459639072418213,100,300,0.05
50_nodes,CoverSizeMin,0,False,21,0.6510300636291504,100,300,0.1
50_nodes,CoverSizeMin,1,False,28,0.6541876792907715,100,300,0.1
50_nodes,CoverSizeMin,2,False,27,0.651721715927124,100,300,0.1
50_nodes,CoverSizeMin,3,False,39,0.6654813289642334,100,300,0.1
50_nodes,CoverSizeMin,4,False,23,0.6530959606170654,100,300,0.1
50_nodes,CoverSizeMin,0,False,26,0.6665265560150146,100,300,0.15
50_nodes,CoverSizeMin,1,False,21,0.6566238403320312,100,300,0.15
50_nodes,CoverSizeMin,2,False,28,0.667191743850708,100,300,0.15
50_nodes,CoverSizeMin,3,False,21,0.6924617290496826,100,300,0.15
50_nodes,CoverSizeMin,4,False,30,0.6953461170196533,100,300,0.15
50_nodes,CoverSizeMin,0,False,28,0.6703484058380127,100,300,0.2
50_nodes,CoverSizeMin,1,False,24,0.6697616577148438,100,300,0.2
50_nodes,CoverSizeMin,2,False,21,0.6660671234130859,100,300,0.2
50_nodes,CoverSizeMin,3,False,23,0.6720306873321533,100,300,0.2
50_nodes,CoverSizeMin,4,False,29,0.662369966506958,100,300,0.2
