instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
medium_50nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,2,38,True,-38.0,2.699618101119995
medium_50nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,2,35,False,-37.0,3.692246437072754
medium_50nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,2,36,False,-39.0,0.4114210605621338
medium_50nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,2,37,False,-39.0,2.702545166015625
medium_50nodes,GA,EdgeCentricEncoding,RepairBasedFitness,2,37,True,-37.0,3.747101068496704
medium_50nodes,SA,EdgeCentricEncoding,RepairBasedFitness,2,35,False,-38.0,0.4199841022491455
medium_50nodes,TS,EdgeCentricEncoding,RepairBasedFitness,2,35,False,-38.0,2.6252567768096924
medium_50nodes,GA,BinaryEncoding,LinearSoftPenalty,3,36,False,-38.4,0.8508164882659912
medium_50nodes,SA,BinaryEncoding,LinearSoftPenalty,3,39,False,-40.2,0.10292315483093262
medium_50nodes,TS,BinaryEncoding,LinearSoftPenalty,3,35,True,-35.0,0.13384318351745605
medium_50nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,3,37,False,-38.0,0.9098830223083496
medium_50nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,3,39,False,-40.0,0.11613655090332031
medium_50nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,3,35,False,-37.0,0.12073755264282227
medium_50nodes,GA,BinaryEncoding,RepairBasedFitness,3,21,False,-35.0,1.0610716342926025
medium_50nodes,SA,BinaryEncoding,RepairBasedFitness,3,21,False,-37.0,0.13338756561279297
medium_50nodes,TS,BinaryEncoding,RepairBasedFitness,3,28,False,-39.0,0.13291406631469727
medium_50nodes,GA,SetEncoding,LinearSoftPenalty,3,39,True,-39.0,0.5798876285552979
medium_50nodes,SA,SetEncoding,LinearSoftPenalty,3,41,True,-41.0,0.09186697006225586
medium_50nodes,TS,SetEncoding,LinearSoftPenalty,3,36,True,-36.0,0.06318235397338867
medium_50nodes,GA,SetEncoding,AdaptiveEdgeWeighting,3,36,False,-38.0,0.6351368427276611
medium_50nodes,SA,SetEncoding,AdaptiveEdgeWeighting,3,37,False,-40.0,0.0967569351196289
medium_50nodes,TS,SetEncoding,AdaptiveEdgeWeighting,3,33,False,-35.0,0.06778264045715332
medium_50nodes,GA,SetEncoding,RepairBasedFitness,3,17,False,-37.0,0.7703368663787842
medium_50nodes,SA,SetEncoding,RepairBasedFitness,3,21,False,-36.0,0.11936163902282715
medium_50nodes,TS,SetEncoding,RepairBasedFitness,3,21,False,-38.0,0.12456464767456055
medium_50nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,3,37,True,-37.0,3.8510072231292725
medium_50nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,3,39,True,-39.0,0.4231688976287842
medium_50nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,3,38,True,-38.0,2.8524117469787598
medium_50nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,36,False,-37.0,3.775054693222046
medium_50nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,36,False,-39.0,0.43532896041870117
medium_50nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,38,False,-40.0,2.7529187202453613
